('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         623145 function calls (602333 primitive calls) in 4.242 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      486    0.000    0.000    0.000    0.000 element.py:2160(get)
       96    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      587    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       40    0.000    0.000    0.001    0.000 typing.py:753(Union)
       93    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        7    0.000    0.000    0.000    0.000 message.py:494(get)
      469    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      135    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      496    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1691    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
      261    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     75/4    0.000    0.000    0.136    0.034 <frozen importlib._bootstrap_external>:1020(exec_module)
       85    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      257    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.036    0.036 dammit.py:1(<module>)
      307    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      315    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.068    0.068 client.py:213(_read_headers)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      155    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      912    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      399    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       29    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
