('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         623404 function calls (602584 primitive calls) in 6.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        4    0.000    0.000    0.000    0.000 element.py:2869(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       47    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
      155    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      182    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       88    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
       29    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
        3    0.000    0.000    0.000    0.000 feedparser.py:102(push)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.472    0.472 client.py:1027(send)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:599(__init__)
        9    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
        1    0.000    0.000    0.375    0.375 client.py:998(connect)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      169    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       29    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      245    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       17    0.000    0.000    0.000    0.000 enum.py:498(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:204(__init__)
       69    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       19    0.000    0.000    0.001    0.000 typing.py:806(Optional)
        1    0.000    0.000    0.318    0.318 socket.py:958(getaddrinfo)
        1    0.000    0.000    1.249    1.249 request.py:1278(do_open)
        6    0.000    0.000    0.000    0.000 typing.py:1719(__getitem__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
      132    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.016    0.016 client.py:1(<module>)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
        5    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        4    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.000    0.000 dammit.py:593(encodings)
        9    0.000    0.000    0.000    0.000 element.py:524(get_text)
        1    0.000    0.000    0.471    0.471 client.py:1467(connect)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
